index,X_img,Y_img,latitude,longitude
TOWER,142315,44246,-22.962554482852713,-43.219036775476795
TOWER,25187,31146,-22.90363760555492,-43.744567422305835
TOWER,126383,19826,-22.853355407714847,-43.29093259923599
TOWER,126337,19863,-22.85314896527459,-43.29076654770795
TOWER,102596,43262,-22.958430121926703,-43.397582559024585
TOWER,80259,30018,-22.899472853716684,-43.498308518353625
TOWER,44776,4485,-22.785108229693247,-43.657776327694165
TOWER,77416,24712,-22.87414775175207,-43.50955514346852
TOWER,31460,30350,-22.89947734159582,-43.71582704431871
TOWER,98629,31654,-22.906518823960248,-43.41556997860179
TOWER,98571,31654,-22.90625852697036,-43.41556997860179
TOWER,7129,1652,-22.772331237792972,-43.826668683220355
TOWER,7049,1739,-22.77197220746209,-43.82627823773552
TOWER,78542,26921,-22.884586558622473,-43.50502687342027
TOWER,28156,29378,-22.89542029885685,-43.73096017276539
TOWER,100817,4562,-22.78349708108341,-43.404314377728625
TOWER,19327,29318,-22.8952901503619,-43.770722781910614
TOWER,119023,30185,-22.89931129006779,-43.323429332059966
TOWER,119019,30325,-22.899293338551242,-43.322801028980926
TOWER,14852,3090,-22.776473550235526,-43.78969753489775
TOWER,121467,46040,-22.971314822926242,-43.31330916460822
TOWER,95191,923,-22.76901918299058,-43.43141667983111
TOWER,95149,962,-22.768830692066867,-43.431241652544806
TOWER,95102,880,-22.768619761747473,-43.43160965863396
TOWER,66383,29584,-22.896439047420728,-43.55949626249426
TOWER,24376,28083,-22.89102217730354,-43.749338037827435
TOWER,8074,2038,-22.772981980267694,-43.82134605856503
TOWER,106289,13452,-22.82421112060547,-43.380573497099036
TOWER,36985,7065,-22.795021954704733,-43.6910763908835
TOWER,36890,7136,-22.79459560618681,-43.690757751464844
TOWER,92029,31006,-22.902030944824222,-43.44361024744371
TOWER,107638,28846,-22.893095577464386,-43.374317393583404
TOWER,30074,8578,-22.801704406738285,-43.721984414493335
TOWER,17421,2713,-22.775436850155103,-43.77882340375115
TOWER,74925,25795,-22.879124809713925,-43.520851135253906
TOWER,116394,18128,-22.846224167767694,-43.336251202751605
TOWER,116386,18091,-22.846188264734607,-43.33641725427964
TOWER,93658,35813,-22.923702913172107,-43.4363982256721
TOWER,93630,35859,-22.9235772525563,-43.43619178323184
TOWER,127691,35903,-22.923851013183597,-43.28340642592486
TOWER,29955,30612,-22.90169884176815,-43.72362697825712
TOWER,110099,32367,-22.907730551326978,-43.36210587445428
TOWER,114829,32365,-22.907416399787458,-43.34057303035961
TOWER,137440,39505,-22.94067607206457,-43.24031381046071
TOWER,137403,39403,-22.940510020536536,-43.24077157413259
TOWER,137360,39365,-22.940317041733685,-43.24094211353975
TOWER,122017,15597,-22.83196617575253,-43.30811668844784
TOWER,84488,30578,-22.900500578038834,-43.477843789493335
TOWER,21765,4877,-22.785956438849958,-43.76013587502872
TOWER,21678,4900,-22.785565993365122,-43.760032653808594
TOWER,40208,32561,-22.910014881807214,-43.67718191707836
TOWER,101579,31188,-22.90360170252183,-43.40150496538948
TOWER,18442,2985,-22.776428671444165,-43.77401239731732
TOWER,56276,25800,-22.879802479463464,-43.60520082361558
TOWER,90184,30162,-22.899136262781482,-43.45278347239775
TOWER,90092,30166,-22.898723377900968,-43.45276552088121
TOWER,122772,14830,-22.831764221191406,-43.30796858843635
TOWER,25425,6423,-22.793406318215762,-43.74422185561236
TOWER,64138,40325,-22.94380861170152,-43.56873680563534
TOWER,75271,4577,-22.783739426556757,-43.51913676542394
TOWER,75238,4489,-22.783591326545267,-43.51953169878791
TOWER,23871,28312,-22.890550949994257,-43.75010546515969
TOWER,126030,20196,-22.853566338034238,-43.291067235610065
TOWER,93187,30948,-22.90363760555492,-43.44028024112477
TOWER,93107,31029,-22.903278575224036,-43.43991672291475
TOWER,103870,1789,-22.772066452923944,-43.39162714341108
TOWER,85188,21444,-22.86055845372817,-43.47575243781594
TOWER,113956,33586,-22.914269391228174,-43.34586423986098
TOWER,19533,3388,-22.77952979592716,-43.77040863037109
TOWER,134546,27169,-22.884604510139017,-43.25259264777688
TOWER,61394,2285,-22.773520525764017,-43.581482382381665
TOWER,74722,21977,-22.862057405359607,-43.52182949290556
TOWER,135549,27649,-22.889105852912458,-43.25043846579159
TOWER,135402,27636,-22.88844613467946,-43.25049680822036
TOWER,119746,35688,-22.92409784653608,-43.320274353027344
TOWER,44776,3904,-22.781517926384424,-43.65679348216337
TOWER,72521,3792,-22.780373517204737,-43.531635508817786
TOWER,134358,43865,-22.96095231000115,-43.254854538861444
TOWER,116156,17107,-22.839770597570084,-43.335447872386254
TOWER,116140,17074,-22.839698791503906,-43.33559597239775
TOWER,40444,31708,-22.905688566320084,-43.67562462301815
TOWER,37549,29999,-22.898081611184516,-43.68867986342486
TOWER,37322,29620,-22.897062862620636,-43.69038076961741
TOWER,77039,570,-22.766541873707492,-43.51198757396025
TOWER,76882,529,-22.765837276683136,-43.51217157700483
TOWER,108121,31802,-22.90603413301356,-43.37182213278378
TOWER,108081,31815,-22.905854617848117,-43.37176379035501
TOWER,108043,31812,-22.90568407844095,-43.37177725399242
TOWER,127985,35047,-22.921580146340762,-43.283657747156475
TOWER,127884,35139,-22.921126870548026,-43.283244862275964
TOWER,89408,30653,-22.901039123535156,-43.45596537870519
TOWER,89432,30674,-22.90114683263442,-43.455871133243335
TOWER,89455,30652,-22.90125005385455,-43.455969866584326
TOWER,17989,3105,-22.777985965504367,-43.77706415512983
TOWER,75144,5333,-22.788554920869714,-43.52112938376034
TOWER,74854,5350,-22.787253435920267,-43.52105308981503
TOWER,102464,9899,-22.80704498291016,-43.39651893166935
TOWER,109037,17196,-22.840134115780103,-43.367361180922565
TOWER,121590,31430,-22.905446220846738,-43.312456467572375
TOWER,97648,7447,-22.79620226691751,-43.41829412123736
TOWER,122726,32377,-22.908749299890857,-43.30641129437615
TOWER,122636,32070,-22.908345390768613,-43.30778907327091
TOWER,122582,32160,-22.90810304529527,-43.30738516414866
TOWER,112322,19663,-22.85308164708755,-43.35449443143956
TOWER,112282,19674,-22.852902131922107,-43.35444506476907
TOWER,112225,19715,-22.852646322811353,-43.35426106172449
TOWER,112222,19759,-22.852632859173944,-43.354063595042504
TOWER,72398,9494,-22.80674878288718,-43.532972896800324
TOWER,72366,9573,-22.80660517075483,-43.53261835434858
TOWER,83615,36743,-22.92710023767808,-43.480693592744714
TOWER,127988,20496,-22.85696815041935,-43.28433541690602
TOWER,127943,20533,-22.856766195858228,-43.284169365377984
TOWER,127833,20662,-22.856272529153266,-43.28359042896943
TOWER,43492,33183,-22.912187015309055,-43.66182439467486
TOWER,43430,33081,-22.911908766802622,-43.662282158346734
TOWER,116353,24672,-22.874762591193704,-43.33560494815602
TOWER,116188,24691,-22.874022091136258,-43.335519678452435
TOWER,120381,22193,-22.864117341883045,-43.31800797406365
TOWER,120391,12334,-22.81928342931411,-43.31737518310547
TOWER,120384,12399,-22.819252014160156,-43.31708347096163
TOWER,21123,32948,-22.91232613956227,-43.763407538918884
TOWER,27083,30147,-22.89958056281595,-43.73648475198185
TOWER,27119,30167,-22.899742126464847,-43.73639499439913
TOWER,26978,30189,-22.899109335506665,-43.736296261058136
TOWER,40133,32961,-22.911473442526425,-43.67718191707836
TOWER,79387,29293,-22.895559423110065,-43.50156223072725
TOWER,45438,31379,-22.90476406321806,-43.65376416374655
TOWER,10359,2284,-22.774261025821463,-43.8112662820255
TOWER,114830,23378,-22.867927551269535,-43.341412263758045
TOWER,25319,32277,-22.9078203089097,-43.74308193431181
TOWER,25222,32130,-22.907384984633502,-43.743741652544806
TOWER,76211,19796,-22.85258349250345,-43.515461192411536
TOWER,43790,32967,-22.91172925163718,-43.66099862491383
TOWER,43730,32857,-22.911459978889017,-43.66149229161879
TOWER,114573,31537,-22.90447235107422,-43.34249384262982
TOWER,55448,26395,-22.88147197050207,-43.60791599049287
TOWER,49776,28301,-22.890124601476334,-43.633469974293426
TOWER,57629,9943,-22.8068879071404,-43.597378450281475
TOWER,24519,32783,-22.90961546056411,-43.746196522432214
TOWER,100764,31218,-22.9053295359892,-43.406755783978625
TOWER,55696,237,-22.764104955336627,-43.60682992374196
TOWER,55650,137,-22.763898512896372,-43.60727871165556
TOWER,134097,44356,-22.96157612520106,-43.254446141860065
TOWER,115793,19914,-22.852502710679,-43.33721160888672
TOWER,36351,7033,-22.795766942641315,-43.694810306324676
TOWER,36277,7088,-22.795434839585248,-43.6945634729722
TOWER,19098,29895,-22.89785272934858,-43.771723578957946
TOWER,117292,27619,-22.887952467974497,-43.3313549266142
TOWER,9200,21775,-22.862407459932218,-43.81714091581457
TOWER,120200,50505,-22.99076080322266,-43.31840290742762
TOWER,76391,28479,-22.892884647144992,-43.51598627427045
TOWER,58206,8941,-22.80409195843865,-43.59648985021255
TOWER,38713,28943,-22.894329744226795,-43.684443305520446
TOWER,133280,43744,-22.959704679601337,-43.25898787554573
TOWER,123120,21332,-22.86025327794692,-43.305715673110065
TOWER,124680,18039,-22.845712549546185,-43.29895243925207
TOWER,124630,18084,-22.845488155589386,-43.29875048469095
TOWER,135875,44949,-22.965965270996094,-43.24819452622358
TOWER,135917,44912,-22.966153761919806,-43.24836057775161
TOWER,2667,2694,-22.775643292595362,-43.84532928466797
TOWER,2602,2606,-22.775351580451517,-43.84572421803194
TOWER,141573,37128,-22.930502050063193,-43.22225907269646
TOWER,4194,2244,-22.773520525764017,-43.83837307200712
TOWER,116068,18834,-22.84835142247817,-43.33667306339039
TOWER,131189,35911,-22.92518840116613,-43.26900930965648
TOWER,118118,9382,-22.805492176729093,-43.3270330990062
TOWER,118074,9418,-22.805294710047107,-43.326871535357306
TOWER,8591,2175,-22.77350706212661,-43.81893606746898
TOWER,8519,2192,-22.773183934828815,-43.81885977352367
TOWER,116638,26800,-22.883222243365122,-43.33323534797219
TOWER,110974,19186,-22.84882713766659,-43.358430301441864
TOWER,110929,19082,-22.84862518310547,-43.358897040872016
TOWER,110920,19007,-22.848584792193243,-43.359233631807214
TOWER,110909,18953,-22.848535425522748,-43.35947597728056
TOWER,117269,8538,-22.801681967342603,-43.330820868997016
TOWER,4562,27645,-22.88826661951402,-43.83747100830078
TOWER,73155,37276,-22.93221641989315,-43.53036095114315
TOWER,46495,2726,-22.774871377383963,-43.64771899055032
TOWER,71764,14522,-22.8290355906767,-43.53553996366613
TOWER,83749,30117,-22.898979187011722,-43.481707853429455
TOWER,75264,27359,-22.886031655704276,-43.51921754724839
TOWER,131414,38668,-22.93696908389821,-43.26740713680492
TOWER,139792,46115,-22.970978231991037,-43.23039559757009
TOWER,139715,46271,-22.970632665297565,-43.229695488424866
TOWER,108312,15871,-22.83508525175207,-43.371512469123395
TOWER,108245,15912,-22.834784563849954,-43.371328466078815
TOWER,63380,14224,-22.827312245088468,-43.5727803847369
TOWER,63570,38757,-22.93766919304343,-43.57218349681181
TOWER,107909,15594,-22.83327663646025,-43.37275561164407
TOWER,26718,15767,-22.835112179026886,-43.73819014605354
TOWER,79029,28528,-22.892157610724954,-43.5032003066119
TOWER,78997,28624,-22.892013998592603,-43.502769470214844
TOWER,78968,28703,-22.891883850097656,-43.5024149277631
TOWER,127089,34602,-22.919354158289295,-43.28745000502642
TOWER,126994,34647,-22.918927809771372,-43.2872480504653
TOWER,121343,15155,-22.830736496869257,-43.31189548268037
TOWER,121293,15198,-22.830512102912454,-43.31170250387752
TOWER,121264,14862,-22.83038195441751,-43.31321043126723
TOWER,121231,14909,-22.83023385440602,-43.31299950094783
TOWER,124182,34027,-22.91707880356733,-43.300801445456116
TOWER,27593,29972,-22.8982790778665,-43.733679827521826
TOWER,27538,29828,-22.898032244514017,-43.73432608211741
